M, COHEN, Frédéric, M7, 8151
M, PETER, Christian, M7, 8003
M, TAVERNIER, Bernard, M4, 4251
M, SANTONI, Alain, ELITE_1, 4526
M, DECLERCQ, Georges, M3, 6117
M, BAUD, David, M6, 7105
M, LEVESQUE, Guy, M3, 10711
M, DUFLOT, Cédric, M8, 9496
M, GRIGNON, Kevin, M4, 8681
M, TAUPIN, Jean-luc, ELITE_1, 6902
M, PIERRON, Jean-michel, ELITE_2, 5817
M, DUVIVIER, Fabrice, M5, 7257
M, LEGRAND, Charles, ELITE_1, 7486
M, MATHIS, Joël, M8, 9710
M, MILLE, Maurice, ELITE_2, 7919
M, DURANT, Maurice, M8, 10729
M, GIRY, Bruno, M5, 9176
M, ALLART, Adrien, M8, 10625
M, PEREZ, Alain, M6, 6708
M, BONNOT, Yves, M7, 5104
M, MAROT, Maxime, M3, 6194
M, LEBLANC, Francis, ELITE_1, 5126
M, BLAIS, Joël, M2, 9929
M, HENAFF, Claude, M9, 8978
M, BAUDIN, François, M5, 6174
M, BERRY, Yves, M2, 6149
M, LESCURE, Raymond, M1, 4158
M, LE, Jonathan, M2, 9580
M, PINSON, Richard, M1, 3798
M, POIRIER, Florian, M4, 7912
M, CHARTIER, Sébastien, ELITE_2, 5663
M, BARBET, Olivier, M7, 9531
M, PERRET, Guy, ELITE_2, 5346
M, DELPLANQUE, François, M8, 5179
M, BOURCIER, Michel, ELITE_2, 5981
M, RUIZ, René, M5, 8344
M, BUSSON, Robert, M8, 8041
M, SELLIER, Jean-paul, ELITE_1, 3790
M, GRESSIER, Richard, M6, 5677
M, KOHLER, Albert, M5, 8736
M, FONTAINE, Xavier, ELITE_1, 8824
M, LABORDE, Thomas, ELITE_1, 8513
M, PARISOT, Emile, M9, 4084
M, MICHELET, Philippe, M5, 4277
M, HERY, Dominique, M8, 6333
M, DELCROIX, Bruno, ELITE_1, 10538
M, GOETZ, Sylvain, M4, 3971
M, HAREL, Antoine, M1, 4903
M, FONTAINE, Jean-françois, M6, 9365
M, GAYET, Roger, M4, 4398
M, MARIE, Jérôme, ELITE_1, 7602
M, FAIVRE, Gérard, M4, 4645
M, CAMUS, Florian, M5, 7887
M, DECROIX, Nicolas, ELITE_2, 5900
M, DENYS, Olivier, M5, 4450
M, MOLINIER, Damien, M1, 3842
M, RAYMOND, Cyril, M3, 5307
M, BORDAS, Joël, M3, 5483
M, MAURY, Denis, M3, 4629
M, QUERE, Jean-luc, ELITE_1, 8435
M, BERGERET, Jean-claude, M1, 9624
M, OLIVE, Albert, M2, 3965
M, DUEZ, Jérémy, M4, 5256
M, SANTOS, Fabrice, M9, 5477
M, BUREL, Guillaume, M4, 7326
M, JAFFRE, René, ELITE_1, 6600
M, COURET, Daniel, M4, 8327
M, LETELLIER, Mickaël, ELITE_1, 9008
M, JOLY, Vincent, M7, 6624
M, LEFRANCOIS, Robert, M1, 4231
M, GONZALEZ, Raymond, M7, 8781
M, SALMON, Marc, M2, 10476
M, GUY, Hervé, M5, 5315
M, PASTOR, Claude, M2, 8965
M, PHILIBERT, Jérôme, M8, 6375
M, CROS, Richard, M5, 9572
M, LEBRETON, Emmanuel, M9, 10511
M, SAILLARD, Didier, M1, 6905
M, LUCAS, Michel, M3, 5204
M, TRAN, Roland, M4, 4460
M, DUCROT, Damien, M9, 8452
M, ROSSIGNOL, Jean, M9, 9667
M, MARAIS, Alexis, M6, 7929
M, VAILLANT, Claude, M6, 3748
M, CORNU, Serge, M3, 3766
M, VILAIN, Jacques, ELITE_1, 8222
M, SERGENT, Julien, M6, 10227
M, CANU, Georges, M3, 9881
M, COMPAGNON, Benoît, M6, 9910
M, DELACOUR, Jean-pierre, M6, 10300
M, GABRIEL, Xavier, M4, 6109
M, RABIER, Gérard, M6, 10000
M, DELACOUR, Guillaume, M4, 5099
M, HARDOUIN, Jean-françois, M7, 4044
M, DELHAYE, Emile, M9, 4122
M, SCHWARTZ, Jean-luc, M8, 3821
M, SAVIN, Roland, M4, 6690
M, COURTIN, Hervé, M1, 8055
M, CHEVRIER, Louis, ELITE_2, 10778
M, GRAND, Jean, M5, 5089
M, COHEN, Frédéric, ELITE_1, 6867
M, PETER, Christian, M6, 7357
M, TAVERNIER, Bernard, M3, 9773
M, SANTONI, Alain, ELITE_2, 4321
M, DECLERCQ, Georges, M8, 6726
M, BAUD, David, M3, 8550
M, LEVESQUE, Guy, M5, 7869
M, DUFLOT, Cédric, M1, 5709
M, GRIGNON, Kevin, M8, 6934
M, TAUPIN, Jean-luc, ELITE_1, 3644
M, PIERRON, Jean-michel, M7, 7846
M, DUVIVIER, Fabrice, M2, 6244
M, LEGRAND, Charles, M2, 10518
M, MATHIS, Joël, M9, 5965
M, MILLE, Maurice, M7, 4064
M, DURANT, Maurice, M9, 6671
M, GIRY, Bruno, M4, 5815
M, ALLART, Adrien, M6, 6321
M, PEREZ, Alain, ELITE_2, 5198
M, BONNOT, Yves, M7, 8883
M, MAROT, Maxime, ELITE_1, 9600
M, LEBLANC, Francis, M2, 6355
M, BLAIS, Joël, M4, 4187
M, HENAFF, Claude, ELITE_1, 6533
M, BAUDIN, François, M2, 7553
M, BERRY, Yves, M2, 4469
M, LESCURE, Raymond, M6, 6974
M, LE, Jonathan, M1, 4279
M, PINSON, Richard, M7, 9428
M, POIRIER, Florian, M3, 5670
M, CHARTIER, Sébastien, ELITE_2, 4491
M, BARBET, Olivier, M1, 6639
M, PERRET, Guy, ELITE_2, 8000
M, DELPLANQUE, François, M8, 7069
M, BOURCIER, Michel, ELITE_1, 5014
M, RUIZ, René, M8, 4673
M, BUSSON, Robert, ELITE_1, 5772
M, SELLIER, Jean-paul, M3, 8063
M, GRESSIER, Richard, ELITE_2, 9966
M, KOHLER, Albert, M9, 4476
M, FONTAINE, Xavier, M3, 10133
M, LABORDE, Thomas, M7, 3685
M, PARISOT, Emile, M8, 7738
M, MICHELET, Philippe, M1, 6543
M, HERY, Dominique, M2, 10538
M, DELCROIX, Bruno, M7, 4303
M, GOETZ, Sylvain, M5, 9820
M, HAREL, Antoine, M1, 9142
M, FONTAINE, Jean-françois, M4, 9942
M, GAYET, Roger, M6, 10437
M, MARIE, Jérôme, M6, 9933
M, FAIVRE, Gérard, M6, 6913
M, CAMUS, Florian, M1, 9065
M, DECROIX, Nicolas, M1, 7666
M, DENYS, Olivier, M7, 5668
M, MOLINIER, Damien, M3, 4074
M, RAYMOND, Cyril, M2, 6554
M, BORDAS, Joël, M4, 4926
M, MAURY, Denis, M1, 9492
M, QUERE, Jean-luc, M9, 6347
M, BERGERET, Jean-claude, M2, 5260
M, OLIVE, Albert, M6, 6808
M, DUEZ, Jérémy, M9, 5307
M, SANTOS, Fabrice, M1, 6593
M, BUREL, Guillaume, M3, 7254
M, JAFFRE, René, M4, 6926
M, COURET, Daniel, M7, 8604
M, LETELLIER, Mickaël, ELITE_2, 8402
M, JOLY, Vincent, M4, 8942
M, LEFRANCOIS, Robert, M2, 6119
M, GONZALEZ, Raymond, M2, 7393
M, SALMON, Marc, M4, 4638
M, GUY, Hervé, M6, 10086
M, PASTOR, Claude, M4, 10467
M, PHILIBERT, Jérôme, M2, 6026
M, CROS, Richard, M7, 9129
M, LEBRETON, Emmanuel, M6, 5644
M, SAILLARD, Didier, M6, 6919
M, LUCAS, Michel, M2, 8726
M, TRAN, Roland, M5, 7538
M, DUCROT, Damien, M1, 8022
M, ROSSIGNOL, Jean, M5, 7560
M, MARAIS, Alexis, M7, 10657
M, VAILLANT, Claude, M3, 5159
M, CORNU, Serge, M4, 7595
M, VILAIN, Jacques, M3, 7277
M, SERGENT, Julien, M3, 7782
M, CANU, Georges, M1, 7372
M, COMPAGNON, Benoît, ELITE_1, 6732
M, DELACOUR, Jean-pierre, M2, 6493
M, GABRIEL, Xavier, M4, 5181
M, RABIER, Gérard, M9, 4324
M, DELACOUR, Guillaume, M4, 4553
M, HARDOUIN, Jean-françois, M9, 6089
M, DELHAYE, Emile, M1, 9474
M, SCHWARTZ, Jean-luc, ELITE_1, 5749
M, SAVIN, Roland, M6, 4954
M, COURTIN, Hervé, ELITE_1, 8506
M, CHEVRIER, Louis, M5, 6271
M, GRAND, Jean, M2, 7283
M, GARREAU, Kevin, ELITE_1, 8147
M, BO, Stéphane, M3, 10064
M, GRANGER, Romain, M9, 7581
M, DEPREZ, Jean-michel, M4, 10222
M, HERMAN, Adrien, M9, 4927
M, VERON, René, ELITE_1, 4575
M, POULIQUEN, Jacques, M3, 6994
M, ROMAN, Fabien, M7, 6407
M, PIAT, Lionel, ELITE_1, 5615
M, BACHELET, Emmanuel, M9, 8968
M, DULAC, Thierry, M9, 7128
M, DAVAL, Albert, M1, 7990
M, BRACHET, Henri, ELITE_1, 4605
M, FRAISSE, Bruno, M2, 8834
M, GALLEN, Jean, M4, 4263
M, LAUDE, Marcel, M4, 7336
M, CABARET, Fabien, M2, 7374
M, GUEGUEN, Albert, M3, 5459
M, BAUMANN, Mathieu, M8, 7928
M, RABIER, Franck, M1, 7693
M, BOIDIN, Lucien, ELITE_2, 6584
M, RAVEL, Albert, M5, 8361
M, LAURENT, Thierry, M9, 6907
M, MILLE, Romain, M3, 4701
M, CLERC, Adrien, M1, 6558
M, JACQUOT, Benjamin, M1, 8411
M, DELAMARE, Joël, ELITE_2, 7198
M, GERARD, Guillaume, M9, 7624
M, BOUDET, Christian, M8, 5734
M, GOURDON, Jean-paul, M1, 4821
M, FROMONT, Jérémy, M4, 8513
M, RIVET, Richard, M4, 10556
M, GRALL, Adrien, ELITE_2, 5447
M, JEANNOT, Sébastien, M3, 8057
M, POLI, Alexandre, M7, 6057
M, WALTER, Jean-marie, ELITE_2, 7829
M, FAIVRE, Patrick, M2, 4514
M, PAIN, Hervé, ELITE_1, 5895
M, DULAC, Emile, M1, 5656
M, MARQUES, Marc, M5, 6933
M, SCHMITT, Jacques, M1, 9731
M, LESAGE, Adrien, ELITE_1, 4862
M, LESUEUR, Xavier, M5, 3691
M, DIEU, Maurice, M7, 4444
M, ROSE, Joël, M4, 9712
M, DIEU, Vincent, M5, 9309
M, BERTAUX, Francis, M4, 4456
M, CABOT, Fabrice, M1, 5314
M, FONTENEAU, Raymond, M2, 6959
M, GUILLET, Guillaume, M4, 8492
M, LAHAYE, Gérard, M9, 9594
M, COTE, Emmanuel, M7, 4251
M, JESTIN, Franck, M9, 5503
M, DURAND, Franck, M8, 4808
M, LUCAS, Jean-pierre, ELITE_2, 7051
M, BAUDUIN, Maurice, ELITE_1, 9903
M, LECLERE, Daniel, M3, 4049
M, GAUCHER, Stéphane, ELITE_2, 5120
M, NAVARRO, Anthony, ELITE_1, 8754
M, GRAVIER, Jean-marc, M4, 4319
M, ROBILLARD, Xavier, M2, 8809
M, ROSSET, André, M4, 8905
M, JAMES, Alexandre, M8, 10619
M, LOZANO, Dominique, M9, 7038
M, VERHAEGHE, Sylvain, M9, 10280
M, ROUSSELLE, Franck, M6, 6141
M, MOI, Thierry, M1, 5202
M, THIBAULT, Thomas, M7, 10200
M, RICCI, Christian, ELITE_1, 8267
M, SALVADOR, Franck, M3, 4480
M, BABIN, Lucien, M4, 5572
M, COMTE, Claude, ELITE_2, 5610
